Country,Country Code,Year,GDPperCapita
Australia,AUS,1990,17329.70661
Brazil,BRA,1990,6710.964526
Canada,CAN,1990,20173.93565
China,CHN,1990,987.6411788
Germany,DEU,1990,19496.7874
France,FRA,1990,17624.23797
UK,GBR,1990,16698.34176
India,IND,1990,1236.671208
Japan,JPN,1990,19561.20174
USA,USA,1990,23888.60001
Australia,AUS,1991,17790.98014
Brazil,BRA,1991,6919.981067
Canada,CAN,1991,20160.72885
China,CHN,1991,1100.814276
Germany,DEU,1991,21031.94889
France,FRA,1991,18309.47206
UK,GBR,1991,17022.74234
India,IND,1991,1265.917481
Japan,JPN,1991,20849.01768
USA,USA,1991,24342.2589
Australia,AUS,1992,18189.37874
Brazil,BRA,1992,6925.379871
Canada,CAN,1992,20557.46336
China,CHN,1992,1270.296992
Germany,DEU,1992,21762.85505
France,FRA,1992,18931.86995
UK,GBR,1992,17428.60116
India,IND,1992,1338.664595
Japan,JPN,1992,21451.67413
USA,USA,1992,25418.99078
Australia,AUS,1993,19131.84187
Brazil,BRA,1993,7297.683777
Canada,CAN,1993,21367.20327
China,CHN,1993,1463.801748
Germany,DEU,1993,21863.31176
France,FRA,1993,19175.31268
UK,GBR,1993,18248.57016
India,IND,1993,1407.473802
Japan,JPN,1993,21792.33548
USA,USA,1993,26387.29373
Australia,AUS,1994,20064.45901
Brazil,BRA,1994,7723.899622
Canada,CAN,1994,22555.69744
China,CHN,1994,1671.200917
Germany,DEU,1994,22759.99775
France,FRA,1994,19972.17932
UK,GBR,1994,19312.1769
India,IND,1994,1503.745417
Japan,JPN,1994,22402.26643
USA,USA,1994,27694.85342
Australia,AUS,1995,20894.39721
Brazil,BRA,1995,8102.66855
Canada,CAN,1995,23401.87468
China,CHN,1995,1872.606651
Germany,DEU,1995,23528.14888
France,FRA,1995,20745.45823
UK,GBR,1995,20522.31375
India,IND,1995,1620.175387
Japan,JPN,1995,23409.64029
USA,USA,1995,28690.8757
Australia,AUS,1996,21972.05265
Brazil,BRA,1996,8300.244709
Canada,CAN,1996,23962.49945
China,CHN,1996,2074.36167
